#         ms          mr          mg          mh           d        psat        dn4k         sfr      hdelta        rexp     nsersic         con       sigv1          ka
#
   7.792e+10      -20.25      -19.26   1.499e+12           0           0       1.855      -12.13      -1.003       3.295           6       3.985       146.3           0
   1.504e+10      -19.57      -18.78   2.912e+11           0           0       1.252      -10.18      0.9035       3.225       4.123       3.008       113.7           0
    3.18e+10      -19.68      -18.81   4.901e+11           0           0        1.77      -11.71      -1.084        3.26           6       3.525       120.9           0
   5.238e+09      -18.07      -17.31   1.743e+11           0           0       1.576      -10.96     -0.4824       2.102           6       2.922       66.98           0
   5.364e+09      -19.03      -18.51   1.758e+11           0           0       1.177      -9.786       2.362       1.631        2.14       2.588       64.36           0
   1.239e+11      -20.87      -19.94   2.742e+12           0           0        1.94      -12.02      -2.543       4.146        5.91       3.283       225.2           0
   6.186e+09      -19.17      -18.66   1.871e+11           0           0       1.265      -9.886        2.78       7.673       2.115        2.14          46           0
   7.442e+10      -20.72      -19.78   1.246e+12           0           0       1.983      -12.29        -2.1       6.419       4.065       2.948       168.1           0
   2.761e+10      -19.11      -18.36    4.36e+11           0           0       1.505      -10.46        2.02       11.02       1.136       2.716        79.6           0
   1.611e+10      -19.12      -18.56   4.024e+11           0           0       1.258       -10.1       2.884       8.431      0.7582       2.392       73.06           0
   6.381e+09      -18.66      -18.17   1.898e+11           0           0       1.314      -9.847       1.989       4.336        1.26       2.326        63.1           0
   1.029e+10      -19.48      -18.98    2.39e+11           0           0       1.256      -9.997       3.022        6.56       1.377       2.477        74.7           0
   2.406e+10      -19.27      -18.34   3.948e+11           0           0       1.804      -11.82      -1.957        2.27       3.925       2.935       139.9           0
   6.338e+10      -19.63      -18.64   1.009e+12           0           0       1.907      -11.73      -2.378       4.642       2.788       2.971       138.7           0
   1.043e+11      -20.64      -19.88   2.001e+12           0           0       1.907      -11.89      -2.552       11.19       2.827       2.097       110.6           0
    1.21e+11      -20.81      -19.85   2.592e+12           0           0        1.79      -11.52     -0.9822       9.575       3.127       2.751       129.2           0
   6.713e+09      -18.75      -18.28   1.942e+11           0           0       1.324       -9.84       4.117       4.782           6       2.272       72.79           0
    6.34e+10      -20.37       -19.5    1.01e+12           0           0       1.569      -11.36      -1.356       4.798        3.34       2.566       124.5           0
   1.334e+10      -19.15      -18.63   2.724e+11           0      0.2784       1.454      -10.48       1.547       7.411      0.9185       1.978       61.85           0
   7.493e+09      -19.37      -18.96   2.044e+11           0           0       1.233      -9.775       4.496       6.284       0.955       2.053       92.15           0
   5.269e+09      -18.03      -17.58   1.746e+11           0           0       1.308       -10.1       5.177       6.721       3.584       1.919       45.93           0
   2.146e+10      -19.17      -18.32   3.626e+11           0           0       1.831      -11.32      -1.519       2.494           6       2.889       127.8           0
   1.656e+10      -19.02      -18.27   3.068e+11           0      0.1621       1.556      -10.38      0.5979       3.104       3.034       3.095       89.88           0
   2.725e+10      -20.61      -20.15   4.314e+11           0           0       1.227      -9.774       2.666       5.238       1.003       1.994       76.21           0
   6.721e+09      -18.23      -17.58   1.943e+11           0      0.4282       1.236      -10.41       7.896       11.26      0.6891       2.454       57.81           0
   6.198e+09      -18.37      -17.67   1.873e+11           0           0       1.314      -10.58       5.617       9.971      0.9148       2.686           0           0
   5.402e+10       -20.3      -19.72   8.422e+11           0           0       1.424      -10.13       2.504        4.77       1.841       2.332       84.11           0
   7.178e+09      -18.92       -18.4   2.004e+11           0           0       1.315      -9.741        3.02       3.157       1.518       2.575       54.41           0
   1.411e+10      -18.85      -18.01   2.807e+11           0           0       1.808      -11.88     -0.7723       2.056           6       3.281        93.4           0
   2.772e+10      -19.88      -19.02   7.629e+11           0           0       1.643      -11.29     -0.7839       6.194       1.933       2.463       101.7           0
   2.773e+10      -18.27       -17.3   4.373e+11           0           0       1.567      -11.05      0.8141       2.443       4.851        3.23       78.81           0
   5.735e+10      -19.97      -18.98   1.149e+12           0           0       1.886       -12.1      -2.205       3.269           6       3.228       176.2           0
